,id,time,callsign,lasmax_dB,label,type,tags,duration,registration,operator
0,132053151,2025-03-01 06:11:13,KLM1282,70.79999975870925,21,Canadair CL-600-2B19 CRJ-200LR,,56,D-ACJJ,
2,132053171,2025-03-01 06:14:19,DAL72,75.50000021397656,21,Airbus A330 302,,52,N827NW,Delta Airlines
3,132053181,2025-03-01 06:16:34,KLM423,75.30000007289749,21,Airbus SAS A330-303,,68,PH-AKB,
4,132053191,2025-03-01 06:18:25,KLM192,75.8000002489116,21,Airbus SAS A330-303,,43,PH-AKF,
5,132053201,2025-03-01 06:20:23,THY6369,82.10000029998703,21,Airbus A310 308F,,46,TC-VEL,Kuzu Airlines
6,132053211,2025-03-01 06:22:38,KLM86M,72.00000015667216,21,Embraer ERJ 170-200 STD,,56,PH-EXO,KLM Cityhopper
8,132053231,2025-03-01 06:26:30,KLM672,73.90000007902604,21,Airbus SAS A330-203,,49,PH-AOB,
9,132053241,2025-03-01 06:28:33,CAL073,73.10000024328873,21,Airbus A350-941,,43,B-18915,China Airlines
10,132053251,2025-03-01 06:30:10,UAE145,76.89999995265403,21,Boeing 777 31HER,,40,A6-EPF,Emirates
11,132053261,2025-03-01 06:31:57,DAL134,74.49999966618532,21,Airbus A330 302,,50,N829NW,Delta Airlines
12,132053271,2025-03-01 06:34:01,KLM878,74.30000016573446,21,Boeing 787-9,,52,PH-BHE,
13,132053281,2025-03-01 06:36:05,KLM70B,75.09999998234366,21,Boeing 737-800,,48,PH-BCE,
15,132053301,2025-03-01 06:39:16,KLM1266,72.60000045231574,21,Boeing 737-800,,59,PH-BGB,
17,132053321,2025-03-01 06:43:07,SIA324,72.10000014429497,21,Airbus A350 941,,49,9V-SMQ,
18,132053331,2025-03-01 06:45:25,KLM54V,72.00000015667216,21,Embraer ERJ 170-200 STD,,67,PH-EXZ,KLM Cityhopper
20,132053351,2025-03-01 06:48:38,KLM79Y,71.6000001822286,21,Embraer ERJ 170-200 STD,,46,PH-EXW,KLM Cityhopper
23,132053381,2025-03-01 06:55:56,KLM64F,74.00000038529629,21,Boeing 737-800,,55,PH-BXI,
24,132053391,2025-03-01 06:57:29,KLM83G,71.2999999836018,21,Embraer ERJ 170-200 STD,,58,PH-EXJ,
25,132053401,2025-03-01 07:00:24,KLM99A,74.19999988079942,21,Boeing 737-800,,79,PH-BCK,KLM Royal Dutch Airlines
28,132053431,2025-03-01 07:07:25,KLM1814,73.00000003109373,21,Embraer ERJ 190-100 STD,,67,PH-EZO,
29,132053441,2025-03-01 07:08:56,KLM76Q,75.09999998234366,21,Boeing 737-800,,62,PH-BXH,
30,132053451,2025-03-01 07:10:41,KLM71G,72.29999980331316,21,Embraer ERJ 190-100 STD,,58,PH-EZH,
31,132053461,2025-03-01 07:12:29,TGZ651,72.60000045231574,21,Boeing 737NG 7CT/W,,54,4L-TGO,Georgian Airways
32,132053471,2025-03-01 07:14:38,SXS1QQ,73.29999970808116,21,Boeing 737NG 8HC/W,,45,TC-SNT,SunExpress Air
33,132053481,2025-03-01 07:16:04,KLM872,77.69999983301469,21,Boeing 777-300ER,,48,PH-BVP,
35,132053501,2025-03-01 07:19:38,KLM46D,74.19999988079942,21,Boeing 737-900,,83,PH-BXO,
37,132053521,2025-03-01 07:23:47,KLM1248,76.09999986897547,21,Boeing 737-800,,55,PH-BXD,
38,132053531,2025-03-01 07:25:15,KLM30N,74.19999988079942,21,Boeing 737-800,,51,PH-BXG,
39,132053541,2025-03-01 07:26:55,YZR7411,85.79999969482012,21,Boeing 747 4HAERF,,63,B-1340,
40,132053551,2025-03-01 07:28:31,KLM836,77.29999974611508,21,Boeing 777-300ER,,56,PH-BVG,
41,132053561,2025-03-01 07:30:15,KLM1214,72.29999980331316,21,Boeing 737-800,,45,PH-BCG,KLM Royal Dutch Airlines
42,132053571,2025-03-01 07:32:10,KLM78L,74.59999985021565,21,Embraer ERJ190-100STD,,58,PH-EZX,KLM Cityhopper
45,132053601,2025-03-01 07:36:48,KLM34E,73.90000007902604,21,Boeing 737-800,,51,PH-BXF,
46,132053611,2025-03-01 07:38:37,KLM1660,73.59999974234984,21,Embraer ERJ190-100STD,,43,PH-EZW,KLM Cityhopper
47,132053621,2025-03-01 07:40:04,KLM24M,73.29999970808116,21,Boeing 737-800,,44,PH-BCD,
48,132053631,2025-03-01 07:41:41,KLM94K,72.79999976266063,21,Boeing 737-800,,42,PH-BXY,
49,132053641,2025-03-01 07:42:57,KLM80J,74.59999985021565,21,Boeing 737-800,,49,PH-BXC,
50,132053651,2025-03-01 07:44:57,EJU38MB,71.09999973823213,21,Airbus A320-214SL,,51,OE-IVC,EasyJet Europe
52,132053671,2025-03-01 07:49:26,KLM24B,73.10000024328873,21,Boeing 737-800,,53,PH-BXL,
53,132053681,2025-03-01 07:51:13,KLM1126,62.60000005172623,21,Embraer ERJ190-100STD,,26,PH-EZZ,KLM Cityhopper
55,132053701,2025-03-01 07:55:22,BTI7HB,68.70000034434003,21,Bombardier C Series 300,,77,YL-CSG,Air Baltic
58,132053731,2025-03-01 08:00:22,KLM1798,72.79999976266063,21,Embraer ERJ 170-200 STD,,47,PH-EXG,
59,132053741,2025-03-01 08:02:06,AUA1T,72.79999976266063,21,Embraer EMB-195 LR,,56,OE-LWN,
62,132053771,2025-03-01 09:49:53,TRA44X,74.89999985588426,21,Boeing 737-800,,54,PH-HXN,Transavia
64,132053791,2025-03-01 09:55:39,TRA1V,74.19999988079942,21,Boeing 737-800,,54,PH-HXC,
65,132053801,2025-03-01 09:57:56,KLM74A,75.50000021397656,21,Boeing 737-900,,61,PH-BXS,
68,132053831,2025-03-01 10:07:44,DLH7MU,70.99999974718538,21,Airbus A319 112,,40,D-AIBF,Lufthansa
69,132053841,2025-03-01 10:09:44,KLM44Y,72.90000022878823,21,Boeing 737-700,,51,PH-BGG,
70,132053851,2025-03-01 10:12:20,KLM46Z,75.599999772793,21,Boeing 737-800,,68,PH-BCE,
71,132053861,2025-03-01 10:14:08,KLM1842,73.10000024328873,21,Embraer ERJ 190-100 STD,,70,PH-EZG,
72,132053871,2025-03-01 10:19:22,AUA379,74.40000017300947,21,Airbus A320 214,,66,OE-LBJ,Austrian Airlines
75,132053901,2025-03-01 10:25:54,KLM38Z,73.59999974234984,21,Boeing 737-800,,61,PH-BXU,
77,132053921,2025-03-01 10:29:22,KLM28V,71.4000000092348,21,Embraer ERJ 170-200 STD,,84,PH-EXH,
78,132053931,2025-03-01 10:31:00,KLM78W,72.70000030130772,21,Embraer ERJ 190-100 STD,,77,PH-EZC,
79,132053941,2025-03-01 10:32:33,KLM1788,73.90000007902604,21,Embraer ERJ 190-100 STD,,72,PH-EZO,
80,132053951,2025-03-01 10:34:11,CAO1033,76.09999986897547,21,Boeing 777 FFT,,48,B-2097,Air China Cargo
83,132053981,2025-03-01 10:39:58,KLM1710,69.59999982672304,21,Embraer ERJ 170-200 STD,,55,PH-EXR,KLM Cityhopper
84,132053991,2025-03-01 10:42:46,KLM68G,73.69999992280833,21,Embraer ERJ 190-100 STD,,59,PH-EZH,
85,132054001,2025-03-01 10:44:31,MAC127X,73.79999980891819,21,Airbus A320 214,,56,CN-NML,Air Arabia Maroc
86,132054011,2025-03-01 10:46:43,KLM706,74.49999966618532,21,Boeing 777-200,,60,PH-BQC,
87,132054021,2025-03-01 11:10:00,PHFJK,66.69999992824013,21,Cessna 525B,Aalsmeerbaan36R_L,48,PH-FJK,
88,132054031,2025-03-01 11:32:16,NJE507L,64.09999984092619,21,Embraer Phenom 300,,39,CS-PHJ,
89,132054041,2025-03-01 12:01:11,DLH4NV,72.00000015667216,21,Airbus A320 214SL,,53,D-AIUK,Lufthansa
91,132054061,2025-03-01 12:05:44,KLM1776,76.09999986897547,21,Boeing 737-800,,71,PH-BXZ,
94,132054091,2025-03-01 12:14:45,KLM68J,74.99999974364995,21,Boeing 737-900,,71,PH-BXO,
95,132054101,2025-03-01 12:18:02,AWH89N,66.80000037637839,21,Cessna Citation Sovereign+,Aalsmeerbaan36R_L,72,D-CAWX,
97,132054121,2025-03-01 12:21:51,KLM30D,73.59999974234984,21,Embraer ERJ 190-100 STD,,52,PH-EXV,KLM Cityhopper
98,132054131,2025-03-01 12:23:28,KLM92W,74.40000017300947,21,Boeing 737-800,,58,PH-BCA,
99,132054141,2025-03-01 12:25:12,EJU45MU,73.90000007902604,21,Airbus A319-111,,92,OE-LQN,EasyJet Europe
100,132054151,2025-03-01 12:26:41,TRA122,74.10000024638818,21,Boeing 737-800,,77,PH-HXA,
103,132054181,2025-03-01 12:33:44,KLM52X,71.09999973823213,21,Embraer ERJ 190-100 STD,,47,PH-EXY,KLM Cityhopper
104,132054191,2025-03-01 12:36:47,NJE6BG,64.5999999993965,21,Textron Aviation Citation Latitude,,59,CS-LTC,Netjets Europe
106,132054211,2025-03-01 12:48:03,AFR39GK,71.2999999836018,21,Embraer EMB-170 STD,,55,F-HBXE,Regional Airlines/Air France
107,132054221,2025-03-01 12:50:30,OOXLS,69.59999982672304,21,Cessna Citation XLS+,,84,OO-XLS,Air Service Liege
108,132054231,2025-03-01 12:52:20,SAS87Y,72.199999906898,21,Canadair CRJ900NG Regional Jet,,56,EI-FPV,City Jet
109,132054241,2025-03-01 12:53:57,DLH992,72.49999960754401,21,Airbus A320 214,,72,D-AIZC,Lufthansa
110,132054251,2025-03-01 13:20:20,TJS7,68.40000024605598,21,Embraer EMB505 Phenom 300,,65,OE-GBH,Tyrolean Jet Service
111,132054261,2025-03-01 14:04:17,KLM129,66.0000000615232,21,Airbus SAS A330-203,Zwanenburgbaan18C_T,65,PH-AOC,
113,132054281,2025-03-01 14:26:36,KLM40Q,72.00000015667216,21,Embraer ERJ 190-100 STD,,82,PH-EZG,
116,132054311,2025-03-01 14:34:47,KLM30H,71.6000001822286,21,Boeing 737-700,,84,PH-BGG,
117,132054321,2025-03-01 14:37:00,KLM1820,71.4000000092348,21,Embraer ERJ 170-200 STD,,82,PH-EXN,KLM Cityhopper
118,132054331,2025-03-01 14:39:54,KLM1790,73.10000024328873,21,Embraer ERJ 170-200 STD,,54,PH-EXS,Klm Cityhopper
119,132054341,2025-03-01 14:42:24,KLM1756,71.6000001822286,21,Embraer ERJ 170-200 STD,,56,PH-EXR,KLM Cityhopper
120,132054351,2025-03-01 14:46:12,KLM26F,72.90000022878823,21,Boeing 737-800,,52,PH-BGA,
121,132054361,2025-03-01 14:47:45,KLM38W,72.40000002698865,21,Boeing 737-800,,42,PH-BCG,KLM Royal Dutch Airlines
